field_1,field_1_1,species,decimallon,decimallat,issues,countryCod,individual,occurrence,coordinate,institutio,gbifID,references,basisOfRec,year,month,day,eventDate,geodeticDa
"762","1171",Butomus umbellatus,-77.731583999999998,43.312376000000000,cdround,USA,NA,PRESENT,"3",iNaturalist,"2813919388",https://www.inaturalist.org/observations/29035915,HUMAN_OBSERVATION,"2019","7","17",2019-07-17,WGS84
"775","1193",Butomus umbellatus,-72.913217000000003,45.706595000000000,cdround,CAN,NA,PRESENT,"31",iNaturalist,"3097211595",https://www.inaturalist.org/observations/74805768,HUMAN_OBSERVATION,"2019","7","12",2019-07-12,WGS84
"789","1211",Butomus umbellatus,-73.166402000000005,44.958843999999999,cdround,USA,NA,PRESENT,"5",iNaturalist,"2331917026",https://www.inaturalist.org/observations/30255305,HUMAN_OBSERVATION,"2019","8","5",2019-08-05,WGS84
"791","1215",Butomus umbellatus,-88.315599000000006,42.904707000000002,cdround,USA,NA,PRESENT,"400",iNaturalist,"2331941160",https://www.inaturalist.org/observations/30335671,HUMAN_OBSERVATION,"2019","8","6",2019-08-06,WGS84
"792","1216",Butomus umbellatus,-73.313884000000002,44.222268000000000,cdround,USA,NA,PRESENT,"5",iNaturalist,"2331952333",https://www.inaturalist.org/observations/30381540,HUMAN_OBSERVATION,"2019","8","7",2019-08-07,WGS84
"820","1264",Butomus umbellatus,-83.401388999999995,41.845092999999999,cdround,USA,NA,PRESENT,"5",iNaturalist,"2366088740",https://www.inaturalist.org/observations/31074245,HUMAN_OBSERVATION,"2019","8","18",2019-08-18,WGS84
"834","1283",Butomus umbellatus,-80.097903000000002,42.158271999999997,cdround,USA,NA,PRESENT,"461",iNaturalist,"2397499144",https://www.inaturalist.org/observations/30678910,HUMAN_OBSERVATION,"2019","8","10",2019-08-10,WGS84
"835","1285",Butomus umbellatus,-83.907822999999993,42.383211000000003,cdround,USA,NA,PRESENT,"186",iNaturalist,"2397501947",https://www.inaturalist.org/observations/30890519,HUMAN_OBSERVATION,"2019","8","13",2019-08-13,WGS84
"836","1286",Butomus umbellatus,-76.225262999999998,44.184328000000001,cdround,USA,NA,PRESENT,"43",iNaturalist,"2397506527",https://www.inaturalist.org/observations/31146973,HUMAN_OBSERVATION,"2019","8","19",2019-08-19,WGS84
"837","1287",Butomus umbellatus,-83.195330999999996,42.067377999999998,cdround,USA,NA,PRESENT,"132",iNaturalist,"2397511384",https://www.inaturalist.org/observations/31313969,HUMAN_OBSERVATION,"2019","8","22",2019-08-22,WGS84
"846","1303",Butomus umbellatus,-76.521754999999999,42.429276000000002,cdround,USA,NA,PRESENT,"10",iNaturalist,"2397635808",https://www.inaturalist.org/observations/31805891,HUMAN_OBSERVATION,"2019","8","30",2019-08-30,WGS84
"847","1304",Butomus umbellatus,-73.255240999999998,44.167251000000000,cdround,USA,NA,PRESENT,"704",iNaturalist,"2397653997",https://www.inaturalist.org/observations/31895826,HUMAN_OBSERVATION,"2019","8","31",2019-08-31,WGS84
"868","1336",Butomus umbellatus,-76.780000000000001,45.771000000000001,NA,CAN,NA,PRESENT,"200",iNaturalist,"2540816135",https://www.inaturalist.org/observations/36870464,HUMAN_OBSERVATION,"2019","8","3",2019-08-03,WGS84
"869","1337",Butomus umbellatus,-73.286011999999999,44.162996999999997,cdround,USA,NA,PRESENT,"13",iNaturalist,"2542903547",https://www.inaturalist.org/observations/31588574,HUMAN_OBSERVATION,"2019","8","25",2019-08-25,WGS84
"871","1339",Butomus umbellatus,-73.145792999999998,44.781542000000002,cdround,USA,NA,PRESENT,"207",iNaturalist,"2563606817",https://www.inaturalist.org/observations/37994891,HUMAN_OBSERVATION,"2019","8","25",2019-08-25,WGS84
"873","1341",Butomus umbellatus,-114.032452000000006,47.876390000000001,cdround,USA,NA,PRESENT,"9",iNaturalist,"2574129156",https://www.inaturalist.org/observations/30142463,HUMAN_OBSERVATION,"2019","8","3",2019-08-03,WGS84
